idna_subject,checker_type,destination,tested_at
206.238.37.78,AVAILABILITY,origin.list,2023-06-09 06:47:00.820298
206.238.37.82,AVAILABILITY,origin.list,2023-06-09 06:47:04.810039
206.238.37.83,AVAILABILITY,origin.list,2023-06-09 06:47:04.959824
206.238.37.81,AVAILABILITY,origin.list,2023-06-09 06:47:04.975303
206.238.37.84,AVAILABILITY,origin.list,2023-06-09 06:47:12.002542
206.238.37.86,AVAILABILITY,origin.list,2023-06-09 06:47:12.082839
206.238.37.85,AVAILABILITY,origin.list,2023-06-09 06:47:16.006054
206.238.37.90,AVAILABILITY,origin.list,2023-06-09 06:47:16.173859
206.238.37.87,AVAILABILITY,origin.list,2023-06-09 06:47:16.238763
206.238.37.88,AVAILABILITY,origin.list,2023-06-09 06:47:23.184145
206.238.37.89,AVAILABILITY,origin.list,2023-06-09 06:47:23.262000
206.238.37.93,AVAILABILITY,origin.list,2023-06-09 06:47:27.190355
206.238.37.91,AVAILABILITY,origin.list,2023-06-09 06:47:27.357257
206.238.37.94,AVAILABILITY,origin.list,2023-06-09 06:47:27.425306
206.238.37.92,AVAILABILITY,origin.list,2023-06-09 06:47:34.370113
206.238.37.96,AVAILABILITY,origin.list,2023-06-09 06:47:34.495012
206.238.37.95,AVAILABILITY,origin.list,2023-06-09 06:47:38.396768
206.238.37.97,AVAILABILITY,origin.list,2023-06-09 06:47:38.614418
206.238.37.98,AVAILABILITY,origin.list,2023-06-09 06:47:38.630785
206.238.37.99,AVAILABILITY,origin.list,2023-06-09 06:47:45.558420
206.238.46.103,AVAILABILITY,origin.list,2023-06-09 06:47:55.301219
206.238.46.10,AVAILABILITY,origin.list,2023-06-09 06:47:59.198874
206.238.46.100,AVAILABILITY,origin.list,2023-06-09 06:47:59.439625
206.238.46.104,AVAILABILITY,origin.list,2023-06-09 06:47:59.459656
206.238.46.105,AVAILABILITY,origin.list,2023-06-09 06:48:06.361621
206.238.46.106,AVAILABILITY,origin.list,2023-06-09 06:48:16.100757
206.238.46.107,AVAILABILITY,origin.list,2023-06-09 06:48:20.010604
206.238.46.108,AVAILABILITY,origin.list,2023-06-09 06:48:20.271584
206.238.46.109,AVAILABILITY,origin.list,2023-06-09 06:48:20.327697
206.238.46.11,AVAILABILITY,origin.list,2023-06-09 06:48:27.167719
206.238.46.112,AVAILABILITY,origin.list,2023-06-09 06:48:36.912781
206.238.46.110,AVAILABILITY,origin.list,2023-06-09 06:48:40.819821
206.238.46.113,AVAILABILITY,origin.list,2023-06-09 06:48:41.084143
206.238.46.111,AVAILABILITY,origin.list,2023-06-09 06:48:41.131702
206.238.46.114,AVAILABILITY,origin.list,2023-06-09 06:48:47.976133
206.238.46.116,AVAILABILITY,origin.list,2023-06-09 06:48:57.725258
206.238.46.119,AVAILABILITY,origin.list,2023-06-09 06:49:01.671137
206.238.46.12,AVAILABILITY,origin.list,2023-06-09 06:49:01.895659
206.238.46.115,AVAILABILITY,origin.list,2023-06-09 06:49:01.941925
206.238.46.118,AVAILABILITY,origin.list,2023-06-09 06:49:08.779525
206.238.46.120,AVAILABILITY,origin.list,2023-06-09 06:49:18.529030
206.238.46.124,AVAILABILITY,origin.list,2023-06-09 06:49:22.481688
206.238.46.121,AVAILABILITY,origin.list,2023-06-09 06:49:22.760262
